Date,User,Message
2019-12-31 00:16:16,"김정식","울또닝"
2019-12-31 00:24:01,"선미♥","쩡이~~"
2019-12-31 00:24:07,"선미♥","나 이제 공항가야해"
2019-12-31 00:28:34,"김정식","진쩡"
2019-12-31 00:28:48,"김정식","우리 떤이"
2019-12-31 00:29:08,"김정식","이제 진짜 오는거얌??"
2019-12-31 00:29:18,"선미♥","응 ㅠ"
2019-12-31 00:29:25,"선미♥","조은데 너무 아쉬워...."
2019-12-31 00:31:16,"김정식","ㅋㅋㅋㅋ"
2019-12-31 00:32:04,"선미♥","ㅋㅋㅋ 더 있으면 안되게찌~~~?"
2019-12-31 00:32:14,"김정식","그만큼 잘놀아두 아쉬웡??ㅋㅋㅋ"
2019-12-31 00:32:19,"선미♥","웅 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
2019-12-31 00:32:25,"김정식","ㅋㅋㅋㅋ"
2019-12-31 00:32:27,"김정식","바붕"
2019-12-31 00:32:57,"김정식","난 자기가 더더더 잘놀다오는거 좋징"
2019-12-31 00:33:21,"김정식","우리 떠니니까"
2019-12-31 00:38:07,"선미♥","흑흑"
2019-12-31 00:38:18,"선미♥","더 놀고싶다"
2019-12-31 01:06:50,"선미♥","이제 공항가 흑흑"
2019-12-31 07:36:46,"김정식","(제발)"
2019-12-31 07:36:56,"김정식","우리떤이"
2019-12-31 07:37:02,"김정식","잘오고잇떵??"
2019-12-31 08:36:24,"선미♥","자갸"
2019-12-31 08:36:27,"선미♥","나 도착해뚀옹"
2019-12-31 08:53:26,"김정식","홀킹!!"
2019-12-31 08:53:34,"김정식","울떤잉 무사히 와땅 ㅠ"
2019-12-31 08:53:36,"김정식","힝"
2019-12-31 08:53:42,"김정식","언넝가서 쉬엉!"
2019-12-31 08:54:35,"선미♥","흐흐흐"
2019-12-31 08:54:40,"선미♥","응응 나무도 보공 ㅠㅠ"
2019-12-31 08:54:46,"선미♥","힝 저녁엔 자기도 오넹"
2019-12-31 09:09:05,"김정식","우리나뮤ㅠㅠ"
2019-12-31 09:09:11,"김정식","많이 이뻐해줭"
2019-12-31 09:09:17,"김정식","오늘가성"
2019-12-31 09:09:32,"선미♥","응응 보고싶어 죽겠눼 ㅠㅠ"
2019-12-31 09:09:40,"김정식","웅 ㅜㅜ"
2019-12-31 09:09:43,"김정식","버스타떠?"
2019-12-31 09:09:51,"선미♥","ㅠㅠ 아니 지금 기다리는중"
2019-12-31 09:09:56,"선미♥","개춥넹 ㅠㅠ 흑흑"
2019-12-31 09:11:36,"김정식","훋흑"
2019-12-31 09:11:38,"김정식","울떠닝"
2019-12-31 09:11:42,"김정식","보고싶당"
2019-12-31 09:11:54,"선미♥","나됴오어엉 ㅠㅠ"
2019-12-31 09:12:21,"김정식","힝"
2019-12-31 09:12:29,"김정식","난 오늘 자체파업이얌"
2019-12-31 09:12:37,"김정식","어제 술너무 마심..."
2019-12-31 09:12:51,"김정식","나중에 라면 먹으러 가야지"
2019-12-31 09:13:00,"선미♥","ㅠㅠ"
2019-12-31 09:13:03,"선미♥","술왜케 먹었댜~~"
2019-12-31 09:14:27,"김정식","구르겡~~"
2019-12-31 09:14:38,"선미♥","일하지 말구 쉬엉"
2019-12-31 09:14:44,"선미♥","자기 오늘 저녁 먹고오겠지??"
2019-12-31 09:14:45,"김정식","이번달 회식 너무 많아ㅠ"
2019-12-31 09:14:52,"김정식","웅웅"
2019-12-31 09:15:31,"김정식","먹구가"
2019-12-31 09:16:20,"선미♥","ㅠㅠ 연말이라소"
2019-12-31 10:25:55,"김정식","라면목고 커피먹고"
2019-12-31 10:26:00,"김정식","한시간쨋당"
2019-12-31 10:32:05,"선미♥","ㅋㅋㅋㅋ 대단한디...?"
2019-12-31 10:32:10,"선미♥","열시반인데 라면을 먹었다닝"
2019-12-31 10:32:16,"선미♥","혼자 머굼?? 속 좀 갠춘해?"
2019-12-31 10:32:30,"선미♥","자기 올때 내꺼 오렌지색 옷 가져와야하눈뎅 ㅎㅎ"
2019-12-31 12:05:22,"김정식","헐!!"
2019-12-31 12:05:27,"김정식","방에 두고 왔는데ㅠㅠ"
2019-12-31 12:05:40,"김정식","속괜춘행"
2019-12-31 12:05:45,"김정식","우짜징"
2019-12-31 12:19:11,"선미♥","홀킹 ㅋㅋㅋㅋ"
2019-12-31 12:19:16,"선미♥","어쩔스없징 ㅠㅠ"
2019-12-31 12:22:59,"김정식","시간보규 들릴수있음 들려야겟당"
2019-12-31 13:09:49,"김정식","자걈"
2019-12-31 13:09:54,"김정식","집도착해떵?"
2019-12-31 13:09:55,"선미♥","응응!"
2019-12-31 13:09:58,"선미♥","나무 보고"
2019-12-31 13:09:59,"김정식","오오!!"
2019-12-31 13:10:01,"김정식","응"
2019-12-31 13:10:09,"선미♥","청소하고 샤워하고 빨래돌리고"
2019-12-31 13:10:13,"선미♥","나무 모래 갈아주고"
2019-12-31 13:10:21,"선미♥","밥 주고 간식주고 물 채워주고"
2019-12-31 13:10:33,"선미♥","불땅한 나무 ㅠㅠ다하고 이제 로션 발랐다 휴 ㅋㅋㅋ"
2019-12-31 13:10:54,"선미♥","동영상"
2019-12-31 13:39:30,"김정식","나무가 화안냈엉?ㅠ"
2019-12-31 13:46:41,"선미♥","화내또 ㅠㅠ 불쌍했어 진짜"
2019-12-31 13:46:45,"선미♥","물도 없고 ㅋㅋㅋㅋ"
2019-12-31 14:25:56,"김정식","힝 우리나뮤ㅠㅠ"
2019-12-31 14:26:20,"김정식","불땅행"
2019-12-31 14:26:46,"선미♥","웅웅 ㅠㅠ 불땽"
2019-12-31 14:27:08,"김정식","울나뮤찡"
2019-12-31 14:27:54,"김정식","나무가 다리에 몸문대줬엉?"
2019-12-31 15:04:39,"선미♥","웅"
2019-12-31 15:04:42,"선미♥","계속"
2019-12-31 15:04:52,"김정식","힝 다행이당"
2019-12-31 15:04:55,"김정식","짠한 나무ㅠㅠ"
2019-12-31 16:14:58,"김정식","나 퇴근 ㅋㅋㅋ"
2019-12-31 18:07:35,"선미♥","우와아아아앙"
2019-12-31 18:10:17,"선미♥","https://www.ssafy.com/ksp/jsp/swp/swpMain.jsp"
2019-12-31 18:20:22,"김정식","떠닝"
2019-12-31 18:20:37,"선미♥","쩡이 저거 개발자아카데미 프러그램이래"
2019-12-31 18:20:43,"김정식","버스에서 잤덩"
2019-12-31 18:20:43,"선미♥","퇴사자
대상임 ㅋㅋㅋ"
2019-12-31 18:20:46,"선미♥","잘해뗘"
2019-12-31 18:20:49,"김정식","ㅋㅋㅋㅋ"
2019-12-31 18:20:51,"김정식","뭐징"
2019-12-31 18:20:55,"선미♥","몇시꺼 타유?? 똑같앵?"
2019-12-31 18:21:10,"김정식","오늘 좀 빨리마쳐줘서 일찍 가나싶었는데"
2019-12-31 18:21:17,"김정식","응 똑같을듯 ㅠㅠㅠ"
2019-12-31 18:21:28,"김정식","울산사는 모든 사람 나가는중"
2019-12-31 18:21:35,"김정식","차엄챙이 막히넹"
2019-12-31 18:21:38,"선미♥","헝 ㅜㅜㅜㅜㅜ"
2019-12-31 18:24:54,"김정식","에효 ㅋㅋㅋ"
2019-12-31 18:25:06,"김정식","울산역가는데만 1시간 50분"
2019-12-31 18:25:45,"선미♥","ㅠㅠㅠ 그게 진짜 헬이네 에혀"
2019-12-31 18:29:04,"김정식","웅 ㅠ"
2019-12-31 18:29:23,"김정식","똑같이 9시반 도착이얌"
2019-12-31 18:29:37,"선미♥","ㅋㅋ 아라뚀"
2019-12-31 18:29:44,"선미♥","뭐 먹어 오뎅이라두"
2019-12-31 18:43:10,"김정식","휴 울산역 내려따"
2019-12-31 18:45:06,"선미♥","잘해땽 ㅠㅠ"
2019-12-31 18:54:48,"김정식","키키"
2019-12-31 18:54:52,"김정식","자기두 뭐 좀 머겅"
2019-12-31 18:54:58,"김정식","기차 출발뜨"
2019-12-31 19:30:44,"김정식","자걈!"
2019-12-31 19:30:48,"김정식","나배터리엄떵 ㅠ"
2019-12-31 19:30:59,"김정식","충전기선만 잇어서 충전안되넹 ㅠ"
2019-12-31 19:31:29,"김정식","거기 대기하는데루 갈겡"
2019-12-31 20:08:56,"선미♥","홍홀 응!"
2019-12-31 20:30:18,"김정식","뀨"
2019-12-31 20:30:23,"김정식","아직 배터리 살아잇당"
