Date,User,Message
2020-01-02 08:27:53,"강강강","새해복 마니받아라 임마들아"
2020-01-02 08:28:03,"강강강","내일 저녁에 어디로모임?"
2020-01-02 08:33:38,"승모","해피뉴이어~!"
2020-01-02 08:33:41,"승모","선미집?"
2020-01-02 08:34:56,"스코","복마니반메훔이다 임마들아"
2020-01-02 08:35:10,"스코","노량진은 누가 따로가서 사나??"
2020-01-02 08:53:45,"강강강","노량진 대신 가락시장"
2020-01-02 08:54:29,"강강강","나 삼실서 가락시장역 30분걸림"
2020-01-02 08:54:35,"강강강","내가 갔다가까?"
2020-01-02 08:58:21,"김정식","하이 새해복들 많이 받으삼"
2020-01-02 08:59:05,"김정식","여기 암사동에도 횟집 많은데 여기서사도 사실 될듯 ㅋㅋㅋ"
2020-01-02 08:59:38,"김정식","승모 내일 여기오면 몇시도착?"
2020-01-02 09:02:44,"강강강","아? 그럼 암사동서 사자 ㅋㅋㅋㅋㅋㅋㅋ"
2020-01-02 09:03:38,"승모","흠 최소 1시간 반은 걸려서 6시반 ~ 7시 사이?"
2020-01-02 09:03:48,"승모","아마 차밀려서 7시는 되어야 할듯"
2020-01-02 09:04:32,"스코","나도 지방 내려갔다와서"
2020-01-02 09:04:42,"스코","몇 시 올지 장담 못할지도ㅠ"
2020-01-02 09:06:11,"김정식","지방오디"
2020-01-02 09:07:36,"김정식","한 일곱시반쯤 암사에서 모이면 될듯"
2020-01-02 09:22:53,"강강강","스코 연초라서 행사있나??"
2020-01-02 11:10:51,"스코","행사는 오늘이고"
2020-01-02 11:11:01,"스코","지방에 뭐 좀 가지러가야한다ㅠ"
2020-01-02 11:23:13,"강강강","아 바쁘네 연초부터"
2020-01-02 11:24:47,"김정식","ㅋㅋ"
2020-01-02 11:24:59,"김정식","암튼 암사로 7시반까지 온난 그럼"
2020-01-02 11:25:09,"김정식","회는 내가 사노을게"
2020-01-02 11:25:18,"김정식","회 + 배민주문"
2020-01-02 11:25:36,"김정식","술도 내가 사면 될듯?"
2020-01-02 11:25:46,"김정식","그냥 오삼ㅋㅋ"
2020-01-02 11:26:19,"승모","ㅇㅋㅇㅋ"
2020-01-02 11:26:27,"승모","금욜에 휴가가 근데"
2020-01-02 11:26:32,"승모","오늘도 휴간가"
2020-01-02 11:27:34,"김정식","어제부터"
2020-01-02 11:27:35,"김정식","휴가지"
2020-01-02 11:48:42,"강강강","개부럽"
2020-01-03 10:00:02,"김정식","오늘 자고갈사람은 칫솔챙겨오고 속옷등은 알아서 가져오삼~"
2020-01-03 10:00:07,"김정식","편한옷은 제공가능"
2020-01-03 10:07:42,"승모","네"
2020-01-03 10:09:04,"강강강","주차도 가능함??"
2020-01-03 10:10:38,"김정식","주차 오피스텔 앞에 댈대있나모르겟군"
2020-01-03 10:10:48,"김정식","일단 끌고온나 어째든 찾아줄게"
2020-01-03 10:13:58,"승모","오피스텔 안에는 못대나"
2020-01-03 10:18:40,"강강강","5층까지 몰고오면 가능하지"
2020-01-03 10:18:51,"김정식","대긴댐 근데 전화올수도잇고 그럼"
2020-01-03 10:19:01,"김정식","어피스텔 앞에 대도되고"
2020-01-03 10:23:29,"강강강","사실 차는 없는데"
2020-01-03 10:23:33,"강강강","궁금해서 물어봄"
2020-01-03 10:23:39,"강강강","슼이 가져올까봐"
2020-01-03 10:26:52,"승모","ㅇㅋㅇㅋ"
2020-01-03 10:27:13,"승모","사실 난 차 가져갈꺼라서"
2020-01-03 10:27:21,"승모","알겠슴다"
2020-01-03 10:29:01,"김정식","ㅋㅋㅋㅋ엄마차 끌고오는줄"
2020-01-03 10:29:21,"김정식","차스코차승모네"
2020-01-03 11:06:13,"스코","거기 주소가 어뜨케되노??"
2020-01-03 11:16:02,"김정식","지도: 까사806오피스텔"
2020-01-03 11:16:11,"김정식","505호"
2020-01-03 14:26:58,"김정식","회 한사리 시키고"
2020-01-03 14:27:01,"김정식","뭐시키지"
2020-01-03 14:39:02,"강강강","냄새 안나면서 달고짜고맛있는거"
2020-01-03 14:48:24,"스코","김.. 김을 시키자"
2020-01-03 14:48:43,"김정식","떡볶이"
2020-01-03 14:49:01,"김정식","회 뭐가 맛잇노"
2020-01-03 14:49:07,"승모","ㅂㅇ 먹자"
2020-01-03 15:09:02,"스코","ㅊㅅ"
2020-01-03 15:29:24,"김정식","방어랑"
2020-01-03 15:29:37,"김정식","ㅊㅅ는뭐고"
2020-01-03 15:29:56,"승모","찬성인듯"
2020-01-03 16:01:55,"강강강","참새"
2020-01-03 16:02:21,"강강강","회 무난한거는"
2020-01-03 16:02:25,"강강강","광어 아님 연어겠지?"
2020-01-03 16:05:05,"강강강","밀치도 겨울이 철인듯"
2020-01-03 16:05:28,"강강강","승모 노일교수님한테 배운거 없음??"
2020-01-03 16:05:34,"강강강","회 머가 맛있다는지 ㅋㅋㅋㅋㅋㅋ"
2020-01-03 16:05:41,"강강강","맞다 굴도 철인데"
2020-01-03 16:06:18,"승모","난 굴만 먹었음 "
2020-01-03 16:06:19,"승모","ㅋㅋㅋ"
2020-01-03 16:11:47,"김정식","ㅋㅋㅋㅋ"
2020-01-03 16:11:47,"강강강","굴빨았네"
2020-01-03 16:11:53,"김정식","횟집에 파는거 산다 ㅌㅋㅋ"
2020-01-03 16:12:15,"강강강","그래 이거저거 사달라해봤자 횟집서 파는거 사야지 ㅋㅋㅋㅋㅋㅋㅋ"
2020-01-03 16:12:57,"승모","그래"
2020-01-03 17:13:26,"스코","오늘 그럼 방어 못먹음??ㅠ"
2020-01-03 17:14:40,"강강강","웬만한 횟집은 방어 팔듯??"
2020-01-03 17:18:38,"김정식","ㅋㅋㅋ방어 있는지 볼게"
2020-01-03 17:20:48,"김정식","회 한 몇키로 해야하지"
2020-01-03 17:22:33,"김정식","한 2.5kg"
2020-01-03 17:22:38,"김정식","하면 될듯한데"
