Date,User,Message
2019-12-31 09:36:30,"김정식","사진"
2019-12-31 09:36:47,"김정식","노조분과왔는데"
2019-12-31 09:36:52,"김정식","이미 홍민우 꿀빨고있네"
2019-12-31 09:37:27,"홍민우 HHI","ㅋㅋ 마지막 소위원인사하러 ㅎㅎ"
2019-12-31 09:39:49,"홍민우 HHI","사진"
2019-12-31 09:42:02,"승호먹호","저갱키"
2019-12-31 09:42:05,"승호먹호","일안하네"
2019-12-31 09:42:15,"승호먹호","컵라멘!?"
2019-12-31 10:35:46,"장광수","중공업좋네"
2019-12-31 10:35:51,"장광수","자리하나 내줘"
2019-12-31 16:40:11,"승호먹호","사진"
2019-12-31 16:40:17,"승호먹호","황병준 생파케익"
2019-12-31 16:46:10,"장광수","오먼데"
2019-12-31 16:46:25,"조가혜","2일날 가져오나?"
2019-12-31 17:04:13,"승호먹호","2일날 하자"
2019-12-31 17:08:29,"김정식","생일도 빠른 빠를황"
2020-01-02 11:08:59,"승호먹호","오늘 보나"
2020-01-02 11:09:06,"승호먹호","황병준없는 황병준생파"
2020-01-02 11:26:34,"김정식","병준이도 없는데 생파해줘야지"
2020-01-02 11:42:24,"황병준 현중","이런씨"
2020-01-02 11:49:40,"이효상","황뱅준이 생일축하한다ㅋㅋ"
2020-01-02 11:50:51,"황병준 현중","이모티콘"
2020-01-02 12:09:12,"김정식","용현이"
2020-01-02 12:09:35,"김정식","그때 아이폰11프로 야간카메라 뭐 결점이라햇엇쥐??"
2020-01-02 12:15:11,"김용현 9팀","https://blog.naver.com/jooyonas/221699344816"
2020-01-02 12:15:14,"김용현 9팀","이거 ㅋㅋ"
2020-01-02 12:18:00,"김정식","ㅋㅋㅋㅋ"
2020-01-02 12:18:02,"김용현 9팀","근데 아이폰 만의문제는 아니라서"
2020-01-02 12:18:08,"김용현 9팀","노트10도 그렇다던데 ㅋㅋ"
2020-01-02 12:18:10,"김정식","유에포 찍히네 ㅋㅋ"
2020-01-02 12:18:13,"김용현 9팀","ㅋㅋㅋㅋㅋ"
